Sample,Best Accuracy,Optimal Parameters
Sample-1,1.0,"('rbf', 0.5039707108571928, 0.07347479903704543)"
Sample-2,0.9777777777777777,"('linear', 0.7069662773740572, 0.06972353640097241)"
Sample-3,1.0,"('linear', 0.7469415544373521, 0.05242940226314712)"
Sample-4,0.9777777777777777,"('linear', 0.1316947442640594, 0.06404709571783399)"
Sample-5,0.9777777777777777,"('rbf', 0.5990171917919425, 0.08492306160170746)"
Sample-6,0.9777777777777777,"('rbf', 0.9976804685162088, 0.09000706923401841)"
Sample-7,0.9555555555555556,"('linear', 0.29909038869994675, 0.09078005602365607)"
Sample-8,0.9555555555555556,"('linear', 0.5766434796720444, 0.0466897689634388)"
Sample-9,0.9333333333333333,"('rbf', 0.8759199785484404, 0.0855669068088183)"
Sample-10,1.0,"('sigmoid', 0.8456772451129513, 0.06728596976458967)"
